Company_ID,Industry_Type,Date,Energy_Demand_MWh,Fuel_Type,Emission_Produced_tCO2,Emission_Allowance_tCO2,Carbon_Price_USD_per_t,Transaction_Type,Credits_Traded_tCO2,Verification_Status,Compliance_Cost_USD,Optimization_Scenario,Carbon_Cost_Savings_USD,Target_Trade_Action
C096,Manufacturing,2025-06-07,2829.04,Mixed Fuel,2218.41,2118.41,30.03,Buy,37,Verified,8099.53,High_Demand,724.33,1
C007,Steel,2024-09-18,1067.71,Natural Gas,493.81,385.81,34.76,Sell,175,Disputed,17734.01,Price_Surge,1903.36,0
C047,Manufacturing,2024-09-17,1613.11,Natural Gas,1268.22,1285.22,29.96,Sell,92,Verified,18024.65,Price_Surge,1288.36,0
C003,Energy,2025-04-04,2386.61,Natural Gas,1565.07,1537.07,23.36,Buy,73,Verified,9725.47,Price_Surge,661.05,1
C078,Cement,2024-06-13,959.41,Renewable,590.66,762.66,27.4,Sell,35,Verified,15230.9,High_Demand,831.25,0
C083,Steel,2024-07-08,1192.87,Mixed Fuel,384.34,245.33999999999997,29.03,Buy,129,Disputed,9859.65,High_Demand,2297.94,1
C002,Manufacturing,2024-10-13,2366.38,Natural Gas,1670.03,1707.03,29.56,Buy,141,Verified,14567.82,Low_Demand,2317.43,1
C060,Manufacturing,2024-01-13,2858.52,Renewable,1561.57,1409.57,24.88,Buy,178,Verified,6989.37,Price_Surge,1650.57,1
C069,Energy,2025-06-12,1414.11,Mixed Fuel,970.03,935.03,32.94,Buy,85,Verified,14595.45,Low_Demand,1306.02,1
C088,Energy,2024-09-06,2717.92,Mixed Fuel,1264.63,1095.63,21.9,Sell,192,Verified,12436.41,Low_Demand,1541.93,0
C057,Cement,2024-01-10,559.17,Natural Gas,335.28,503.28,30.34,Sell,189,Disputed,7117.39,High_Demand,1978.23,0
C070,Steel,2024-09-27,2827.28,Mixed Fuel,1762.97,1864.97,28.7,Buy,41,Verified,14891.78,Price_Surge,576.88,1
C069,Energy,2024-09-13,2387.78,Natural Gas,1632.61,1794.61,26.47,Buy,167,Disputed,18535.22,High_Demand,2819.63,1
C076,Energy,2025-11-18,961.39,Natural Gas,321.5,445.5,26.77,Sell,86,Verified,5841.66,Low_Demand,2871.54,0
C040,Cement,2024-04-06,2345.47,Renewable,1111.88,1011.8800000000001,30.54,Sell,138,Verified,15121.12,Price_Surge,1333.52,0
C080,Manufacturing,2025-10-17,2898.22,Mixed Fuel,1051.39,1191.39,27.84,Buy,186,Disputed,19753.4,Low_Demand,1770.89,1
C061,Cement,2025-12-03,1191.37,Natural Gas,715.85,865.85,24.79,Buy,136,Verified,10725.29,Price_Surge,636.98,1
C009,Steel,2024-04-30,2678.4,Natural Gas,1690.49,1690.49,30.39,Buy,163,Verified,17634.65,Low_Demand,616.45,1
C029,Cement,2024-11-25,2489.24,Coal,1791.27,1768.27,29.19,Buy,85,Verified,7990.97,Price_Surge,1824.34,1
C067,Cement,2024-10-30,1681.92,Coal,597.22,515.22,20.87,Sell,49,Disputed,10823.0,Price_Surge,1281.66,0
C093,Manufacturing,2024-04-06,1944.71,Mixed Fuel,1370.95,1413.95,27.65,Sell,139,Verified,13991.93,Price_Surge,1583.62,0
C021,Cement,2025-04-11,991.24,Mixed Fuel,299.81,453.81,33.58,Sell,74,Disputed,15114.37,Low_Demand,2078.49,0
C049,Steel,2024-12-15,1283.31,Mixed Fuel,946.03,945.03,28.6,Buy,175,Disputed,19411.43,Price_Surge,2144.61,1
C003,Cement,2024-08-10,2132.84,Mixed Fuel,1678.84,1525.84,34.24,Sell,158,Disputed,8205.73,Price_Surge,2073.39,0
C069,Manufacturing,2025-11-21,1300.74,Mixed Fuel,794.1,663.1,20.94,Buy,74,Verified,7821.18,Low_Demand,2000.4,1
C064,Energy,2024-07-26,851.38,Natural Gas,558.81,638.81,32.62,Sell,130,Disputed,9057.78,Price_Surge,2135.25,0
C034,Steel,2024-06-23,2574.85,Renewable,1599.15,1564.15,21.31,Sell,195,Disputed,18937.53,High_Demand,2414.6,0
C045,Cement,2025-11-22,2248.9,Coal,1006.98,1168.98,24.25,Sell,23,Disputed,14026.1,Price_Surge,2663.08,0
C099,Cement,2024-07-20,2184.08,Mixed Fuel,1576.98,1748.98,26.94,Sell,46,Disputed,11899.4,Price_Surge,1986.36,0
C028,Manufacturing,2024-05-06,1219.81,Natural Gas,895.66,915.66,29.16,Buy,103,Disputed,8816.39,Low_Demand,2589.05,1
C046,Manufacturing,2024-08-24,887.25,Mixed Fuel,287.87,245.87,29.36,Buy,167,Verified,15207.18,Low_Demand,1340.52,1
C054,Steel,2025-01-08,903.85,Renewable,280.86,276.86,29.52,Sell,121,Verified,17472.45,Low_Demand,2896.94,0
C086,Steel,2024-11-15,2391.6,Coal,1742.6,1692.6,22.21,Buy,93,Verified,6440.68,Price_Surge,2118.18,1
C058,Manufacturing,2025-12-31,842.76,Mixed Fuel,533.95,350.95000000000005,24.57,Buy,88,Verified,14267.78,Price_Surge,977.69,1
C099,Energy,2024-02-21,671.67,Mixed Fuel,453.38,498.38,27.74,Sell,132,Disputed,7886.22,High_Demand,1635.49,0
C062,Steel,2025-06-18,1291.29,Renewable,695.16,840.16,29.49,Sell,84,Verified,10782.37,Price_Surge,1398.62,0
C054,Manufacturing,2024-08-10,1936.64,Mixed Fuel,963.82,781.82,22.29,Sell,72,Disputed,8394.79,Low_Demand,1315.64,0
C030,Steel,2024-07-13,1223.12,Renewable,519.33,697.33,32.49,Buy,43,Disputed,8203.58,Price_Surge,2506.11,1
C083,Cement,2025-11-24,1304.28,Renewable,1004.77,1126.77,25.95,Buy,25,Verified,7763.89,Low_Demand,901.29,1
C078,Steel,2024-11-22,822.58,Mixed Fuel,531.97,530.97,34.44,Sell,139,Disputed,16484.59,High_Demand,1930.76,0
C009,Manufacturing,2025-01-05,1308.76,Renewable,901.86,814.86,33.06,Sell,74,Disputed,5443.56,Low_Demand,2170.45,0
C068,Manufacturing,2025-03-21,1114.28,Renewable,374.49,425.49,29.59,Buy,98,Disputed,11430.84,High_Demand,914.79,1
C002,Manufacturing,2024-10-24,1981.02,Natural Gas,628.78,743.78,21.12,Sell,198,Verified,14956.35,Low_Demand,2070.01,0
C091,Cement,2024-09-27,1718.01,Coal,933.21,924.21,27.21,Sell,162,Disputed,15019.75,Price_Surge,2022.49,0
C095,Steel,2024-01-07,1754.95,Coal,690.38,875.38,27.54,Buy,135,Disputed,18812.18,High_Demand,831.27,1
C050,Steel,2024-02-15,2952.82,Coal,1749.37,1573.37,32.89,Buy,175,Verified,19550.99,Price_Surge,2909.13,1
C024,Manufacturing,2025-01-13,2841.15,Coal,1410.51,1295.51,22.77,Buy,134,Disputed,15766.96,High_Demand,2645.55,1
C010,Manufacturing,2025-02-11,875.62,Natural Gas,504.42,464.42,29.17,Sell,164,Disputed,6493.56,High_Demand,1985.22,0
C086,Manufacturing,2024-05-30,2000.27,Mixed Fuel,1181.3,1055.3,21.16,Buy,65,Disputed,13960.29,Price_Surge,2315.74,1
C018,Manufacturing,2024-05-13,2500.76,Natural Gas,1993.96,2047.96,25.8,Sell,32,Disputed,5595.33,High_Demand,909.88,0
C071,Manufacturing,2024-11-07,1603.32,Natural Gas,1224.75,1079.75,28.03,Buy,78,Verified,12277.16,High_Demand,891.85,1
C062,Energy,2025-10-24,2321.01,Renewable,821.52,731.52,20.05,Buy,181,Disputed,8907.76,High_Demand,624.42,1
C050,Energy,2025-06-03,1495.6,Natural Gas,851.58,703.58,34.23,Sell,191,Verified,17569.83,Price_Surge,2434.91,0
C091,Steel,2024-03-10,1120.83,Renewable,496.12,571.12,29.72,Sell,36,Disputed,14940.16,Price_Surge,832.12,0
C025,Cement,2025-06-12,2245.53,Natural Gas,915.32,1023.32,20.71,Sell,73,Verified,17848.45,High_Demand,2153.34,0
C077,Cement,2024-06-05,2609.16,Renewable,1501.3,1413.3,27.75,Sell,70,Disputed,10450.75,Price_Surge,2004.57,0
C036,Manufacturing,2025-03-11,2837.57,Coal,2175.18,2217.18,25.56,Buy,50,Verified,19207.39,High_Demand,1761.51,1
C026,Energy,2024-09-06,1208.47,Natural Gas,367.85,291.85,31.06,Buy,45,Verified,12745.47,Low_Demand,1111.38,1
C056,Energy,2024-07-17,1727.39,Mixed Fuel,923.47,893.47,33.48,Buy,54,Verified,10489.08,Low_Demand,1912.79,1
C026,Steel,2024-03-02,1647.76,Natural Gas,789.63,923.63,25.01,Buy,32,Verified,14282.87,High_Demand,2741.59,1
C004,Manufacturing,2025-02-16,1494.74,Natural Gas,871.85,708.85,34.35,Buy,177,Disputed,7819.25,Price_Surge,991.57,1
C020,Energy,2025-07-19,1329.49,Mixed Fuel,1034.19,1057.19,24.11,Buy,72,Disputed,12397.68,Price_Surge,933.08,1
C085,Energy,2024-04-29,2505.27,Mixed Fuel,1265.88,1319.88,26.43,Sell,72,Verified,11181.6,Price_Surge,1313.48,0
C049,Energy,2024-12-22,1593.26,Renewable,1103.59,986.5899999999999,27.7,Sell,196,Disputed,15255.76,High_Demand,1579.55,0
C020,Energy,2024-12-20,2208.79,Mixed Fuel,767.45,783.45,25.39,Sell,180,Disputed,16807.64,High_Demand,566.88,0
C059,Manufacturing,2024-03-24,1421.92,Natural Gas,1006.3,841.3,27.68,Buy,184,Disputed,18949.3,High_Demand,1644.59,1
C064,Steel,2025-10-28,2422.05,Natural Gas,1427.42,1319.42,20.31,Sell,153,Disputed,14535.12,Low_Demand,1236.24,0
C079,Steel,2025-05-28,1763.33,Coal,1098.6,1043.6,32.09,Buy,62,Disputed,7225.61,Price_Surge,1281.5,1
C068,Steel,2025-10-11,805.32,Mixed Fuel,519.97,531.97,29.05,Buy,120,Disputed,11733.59,Low_Demand,1853.83,1
C089,Cement,2025-04-11,1084.84,Natural Gas,790.34,684.34,26.65,Sell,179,Verified,10083.52,High_Demand,1716.59,0
C025,Energy,2025-06-21,1354.17,Natural Gas,680.36,555.36,23.98,Buy,22,Disputed,16531.84,Price_Surge,2863.54,1
C041,Manufacturing,2025-03-18,561.72,Renewable,337.53,506.53,20.14,Buy,170,Verified,7051.48,High_Demand,809.85,1
C014,Cement,2024-07-05,1578.2,Natural Gas,657.56,633.56,24.35,Sell,76,Verified,7281.52,Low_Demand,2362.65,0
C074,Manufacturing,2024-10-30,1019.91,Renewable,808.28,751.28,21.0,Sell,31,Verified,12024.31,Low_Demand,2504.42,0
C073,Steel,2025-11-23,1887.34,Mixed Fuel,971.82,1157.8200000000002,34.38,Buy,178,Verified,6735.62,High_Demand,2562.56,1
C045,Energy,2025-09-14,2197.33,Renewable,1289.83,1430.83,29.1,Buy,74,Disputed,11563.43,High_Demand,2240.7,1
C022,Energy,2024-05-06,1580.83,Natural Gas,1214.62,1188.62,20.53,Sell,28,Disputed,11537.04,Price_Surge,2869.28,0
C040,Steel,2024-09-01,1914.31,Coal,1214.23,1256.23,33.61,Sell,121,Verified,17605.93,Price_Surge,1272.22,0
C061,Steel,2024-11-30,2172.19,Mixed Fuel,1112.57,1027.57,27.61,Buy,157,Disputed,18459.71,Price_Surge,632.19,1
C030,Steel,2024-06-12,534.71,Mixed Fuel,288.1,396.1,21.16,Sell,145,Verified,6748.72,Price_Surge,1161.48,0
C042,Cement,2025-07-25,1947.5,Renewable,815.13,769.13,28.32,Sell,49,Disputed,13995.99,Low_Demand,2352.43,0
C027,Manufacturing,2025-01-02,2868.96,Mixed Fuel,2271.8,2146.8,28.49,Buy,132,Disputed,7527.91,Price_Surge,1149.54,1
C024,Energy,2025-01-24,941.58,Coal,403.17,522.1700000000001,31.5,Sell,119,Verified,11825.64,Low_Demand,1771.66,0
C096,Cement,2024-06-28,1694.27,Renewable,664.39,545.39,27.33,Sell,43,Disputed,10397.6,Low_Demand,1358.24,0
C061,Steel,2024-03-05,1497.66,Renewable,1192.83,1325.83,27.3,Sell,116,Disputed,16214.56,Low_Demand,2332.22,0
C004,Steel,2024-05-01,2881.01,Renewable,1652.22,1708.22,21.39,Buy,173,Verified,18842.61,Price_Surge,2837.51,1
C083,Steel,2024-09-05,1384.96,Renewable,432.54,316.54,32.76,Sell,73,Disputed,9581.57,High_Demand,1480.25,0
C027,Cement,2025-07-08,2794.74,Renewable,1292.5,1316.5,33.98,Buy,60,Verified,19604.02,Low_Demand,1511.65,1
C021,Cement,2024-03-02,879.22,Mixed Fuel,531.63,488.63,34.14,Sell,90,Verified,6774.78,Low_Demand,2461.98,0
C070,Manufacturing,2024-07-22,1830.4,Coal,1379.6,1361.6,20.21,Sell,82,Disputed,18759.27,High_Demand,1969.34,0
C044,Energy,2025-11-02,573.32,Renewable,398.68,354.68,29.14,Buy,190,Verified,8706.49,High_Demand,1660.6,1
C048,Energy,2025-11-01,2973.82,Renewable,2115.18,2169.18,20.1,Sell,111,Disputed,12584.26,Low_Demand,2305.97,0
C005,Cement,2025-02-14,1768.97,Coal,1154.51,1012.51,27.51,Sell,128,Verified,14899.09,Low_Demand,2454.25,0
C051,Steel,2024-12-15,576.78,Renewable,385.19,496.19,30.88,Sell,65,Disputed,15927.56,High_Demand,1252.67,0
C094,Energy,2025-08-03,1111.98,Natural Gas,527.21,632.21,28.57,Buy,144,Disputed,19953.98,Low_Demand,2497.65,1
C064,Manufacturing,2024-06-11,2343.5,Natural Gas,1100.16,1251.16,30.65,Buy,87,Verified,5724.5,Price_Surge,2515.76,1
C025,Energy,2025-01-09,2516.06,Natural Gas,1121.48,967.48,34.33,Buy,36,Verified,13086.43,High_Demand,2080.86,1
C092,Steel,2025-08-06,2089.53,Renewable,1157.46,1309.46,22.04,Buy,66,Disputed,9740.21,High_Demand,1525.97,1
C005,Energy,2024-08-06,888.43,Natural Gas,319.54,307.54,31.02,Buy,188,Verified,14161.72,High_Demand,681.16,1
C048,Energy,2024-01-13,2534.93,Natural Gas,1074.58,1023.5799999999999,21.79,Buy,60,Verified,10979.33,High_Demand,1998.25,1
C030,Manufacturing,2025-05-06,2130.08,Mixed Fuel,1516.67,1637.67,32.32,Sell,123,Disputed,8793.25,Low_Demand,2343.9,0
C089,Cement,2025-08-14,2166.93,Mixed Fuel,1090.87,1150.87,33.48,Buy,115,Disputed,12057.71,Low_Demand,767.31,1
C016,Energy,2025-05-06,2152.82,Coal,1403.27,1229.27,23.08,Buy,123,Verified,7792.68,High_Demand,2781.4,1
C010,Manufacturing,2025-02-05,2972.09,Coal,898.85,1079.85,23.5,Buy,197,Disputed,13496.34,High_Demand,1572.63,1
C054,Energy,2024-01-09,737.11,Renewable,245.83,144.83,26.48,Buy,143,Disputed,12650.14,Price_Surge,2803.44,1
C030,Steel,2025-01-11,872.91,Natural Gas,595.18,728.18,20.07,Sell,113,Verified,8086.93,High_Demand,519.39,0
C089,Energy,2024-07-18,2377.85,Mixed Fuel,1674.87,1523.87,26.15,Sell,142,Verified,18759.15,Price_Surge,845.1,0
C006,Steel,2024-10-16,867.61,Natural Gas,360.54,359.54,28.7,Sell,115,Verified,10084.93,High_Demand,765.5,0
C084,Cement,2025-10-10,2127.72,Renewable,651.28,734.28,27.31,Buy,86,Verified,10711.89,Price_Surge,522.45,1
C097,Energy,2025-09-25,619.21,Coal,197.79,187.79,33.65,Buy,154,Verified,19133.58,High_Demand,2255.52,1
C051,Energy,2025-05-23,2336.2,Coal,747.41,932.41,20.48,Buy,86,Verified,6725.83,High_Demand,2906.18,1
C045,Energy,2024-04-01,1217.11,Coal,742.68,714.68,32.34,Buy,140,Disputed,6737.4,High_Demand,1975.71,1
C092,Steel,2025-09-04,2799.58,Mixed Fuel,1828.02,1689.02,30.27,Sell,182,Disputed,9124.32,Price_Surge,521.4,0
C024,Energy,2024-05-03,1022.27,Coal,544.86,700.86,22.57,Buy,100,Verified,7633.25,High_Demand,1384.32,1
C070,Manufacturing,2024-07-12,1961.38,Natural Gas,616.29,801.29,25.01,Buy,31,Verified,16883.3,Price_Surge,2312.34,1
C044,Manufacturing,2024-12-09,2571.25,Coal,1653.14,1473.14,33.57,Sell,195,Verified,14410.73,High_Demand,549.72,0
C050,Manufacturing,2024-12-25,703.85,Renewable,353.16,310.16,23.89,Sell,101,Verified,16496.12,Low_Demand,841.6,0
C039,Steel,2024-10-25,2096.22,Mixed Fuel,760.64,674.64,30.55,Buy,177,Verified,17625.7,Price_Surge,555.62,1
C089,Manufacturing,2024-09-16,1695.64,Renewable,1211.8,1318.8,26.32,Sell,50,Verified,17370.78,High_Demand,717.88,0
C014,Cement,2024-10-02,1741.99,Coal,532.28,723.28,29.52,Sell,103,Verified,19889.97,Low_Demand,2172.01,0
C099,Cement,2025-11-09,2272.2,Renewable,1212.4,1391.4,28.97,Sell,174,Verified,17077.61,Low_Demand,689.19,0
C041,Steel,2024-06-08,1605.72,Natural Gas,1204.09,1260.09,25.17,Sell,195,Disputed,17780.97,Price_Surge,2483.13,0
C075,Energy,2024-01-29,1127.3,Renewable,542.76,645.76,32.13,Buy,150,Disputed,10323.55,Price_Surge,1124.47,1
C006,Manufacturing,2024-07-25,2121.77,Mixed Fuel,1094.88,1087.88,24.51,Sell,104,Verified,14220.93,Price_Surge,2399.24,0
C017,Manufacturing,2025-02-07,2001.99,Mixed Fuel,1198.14,1293.14,30.47,Sell,49,Verified,5565.17,Low_Demand,571.64,0
C073,Energy,2024-06-07,909.12,Mixed Fuel,650.84,708.84,30.44,Sell,184,Verified,9935.53,Price_Surge,2542.14,0
C050,Cement,2024-01-02,2371.87,Natural Gas,1026.43,1169.43,32.28,Sell,94,Disputed,11559.3,High_Demand,909.19,0
C047,Manufacturing,2024-05-23,690.43,Renewable,371.34,428.34,33.74,Buy,65,Disputed,13021.49,Low_Demand,2022.97,1
C083,Manufacturing,2024-10-27,1263.42,Mixed Fuel,774.09,700.09,21.38,Buy,37,Disputed,17633.2,Low_Demand,2113.07,1
C034,Steel,2024-10-31,938.5,Mixed Fuel,724.12,546.12,25.09,Sell,67,Disputed,5175.91,High_Demand,1496.62,0
C060,Energy,2025-11-03,2414.05,Mixed Fuel,951.83,868.83,25.9,Buy,41,Verified,10690.96,Price_Surge,2198.39,1
C042,Cement,2024-09-13,1138.76,Mixed Fuel,670.99,527.99,24.1,Sell,150,Disputed,18118.69,Low_Demand,1340.47,0
C065,Manufacturing,2024-09-08,2217.66,Renewable,970.54,860.54,31.82,Sell,174,Verified,18315.08,High_Demand,1501.29,0
C041,Steel,2024-07-03,1226.09,Renewable,975.79,982.79,33.24,Sell,53,Verified,11396.9,Low_Demand,2658.71,0
C041,Steel,2024-06-20,2930.82,Renewable,2269.22,2332.22,20.41,Buy,35,Disputed,6379.38,Low_Demand,978.98,1
C090,Manufacturing,2025-07-24,2213.77,Renewable,1750.43,1758.43,31.43,Sell,184,Verified,18755.82,Price_Surge,1168.54,0
C012,Energy,2024-05-26,614.78,Mixed Fuel,329.4,388.4,25.04,Buy,58,Verified,15187.42,Low_Demand,1402.38,1
C075,Manufacturing,2025-07-08,1850.16,Coal,855.19,758.19,23.73,Buy,43,Disputed,18069.17,Price_Surge,963.7,1
C056,Energy,2024-06-22,510.56,Mixed Fuel,345.89,235.89,33.89,Buy,92,Disputed,19331.37,Low_Demand,2514.48,1
C006,Cement,2025-11-29,2490.96,Renewable,1043.13,970.1300000000001,23.47,Buy,147,Disputed,19749.19,High_Demand,2619.63,1
C080,Energy,2025-08-08,1623.93,Mixed Fuel,1045.0,1057.0,29.05,Sell,176,Disputed,10367.48,Low_Demand,2028.8,0
C035,Cement,2024-10-26,699.26,Renewable,488.0,545.0,33.31,Sell,65,Verified,12889.59,Low_Demand,1747.59,0
C047,Manufacturing,2024-02-12,1932.83,Mixed Fuel,1117.0,983.0,31.1,Sell,166,Verified,8642.52,Price_Surge,2182.49,0
C016,Steel,2024-10-18,1791.62,Mixed Fuel,809.37,957.37,31.07,Buy,103,Verified,15919.81,Low_Demand,1299.64,1
C085,Energy,2025-02-17,1639.48,Natural Gas,579.67,647.67,29.02,Buy,46,Disputed,6625.95,Price_Surge,1494.08,1
C003,Cement,2024-12-02,1493.43,Renewable,841.95,774.95,20.08,Sell,87,Verified,9666.27,Price_Surge,1434.98,0
C055,Steel,2025-07-29,956.13,Natural Gas,446.33,414.33,24.49,Buy,123,Disputed,19299.52,High_Demand,2375.85,1
C097,Manufacturing,2025-12-02,1032.47,Coal,736.52,880.52,25.1,Sell,106,Verified,17813.39,Price_Surge,2509.02,0
C066,Steel,2024-02-09,1352.17,Mixed Fuel,759.67,572.67,25.42,Sell,136,Verified,9436.17,Low_Demand,1194.51,0
C054,Energy,2024-01-03,1726.38,Renewable,761.87,735.87,32.38,Buy,73,Verified,17190.81,Low_Demand,1819.2,1
C083,Energy,2024-11-25,917.32,Natural Gas,419.14,567.14,22.34,Buy,156,Disputed,16445.84,High_Demand,1778.39,1
C012,Manufacturing,2025-04-13,774.58,Coal,295.63,267.63,21.35,Buy,187,Disputed,6339.24,Price_Surge,1366.58,1
C001,Cement,2024-08-20,1457.2,Coal,1133.51,1142.51,28.43,Buy,23,Verified,5970.64,High_Demand,2792.3,1
C080,Manufacturing,2025-11-23,1219.35,Natural Gas,473.37,303.37,33.52,Buy,174,Verified,9964.6,Price_Surge,2191.8,1
C089,Manufacturing,2025-12-28,1234.28,Natural Gas,965.73,807.73,22.45,Sell,114,Disputed,10034.43,Price_Surge,604.19,0
C090,Energy,2025-03-26,2735.59,Renewable,1440.02,1609.02,25.99,Sell,43,Disputed,16972.91,Low_Demand,1745.82,0
C030,Cement,2025-09-02,2344.37,Natural Gas,1875.03,1867.03,29.35,Sell,72,Verified,9954.28,Price_Surge,2833.5,0
C044,Manufacturing,2024-06-01,917.1,Renewable,644.16,803.16,33.06,Buy,196,Verified,19872.01,Price_Surge,2907.31,1
C014,Cement,2024-08-16,667.47,Natural Gas,218.73,99.72999999999999,28.77,Buy,127,Disputed,17383.86,High_Demand,971.39,1
C092,Energy,2024-02-11,2267.93,Natural Gas,874.68,754.68,34.19,Buy,99,Verified,7761.93,Low_Demand,2347.39,1
C071,Steel,2025-10-12,2718.09,Natural Gas,1120.19,1243.19,20.17,Sell,81,Disputed,12680.09,Price_Surge,2624.49,0
C023,Cement,2025-03-01,1384.41,Mixed Fuel,871.22,915.22,23.26,Buy,129,Verified,18215.01,Low_Demand,2648.34,1
C066,Steel,2025-08-22,2943.26,Coal,1057.18,1068.18,26.88,Buy,117,Verified,18104.33,High_Demand,1920.51,1
C012,Energy,2024-10-16,1508.82,Natural Gas,958.08,1079.08,22.75,Sell,63,Disputed,6872.84,Price_Surge,2232.04,0
C034,Steel,2025-04-02,614.9,Renewable,394.15,518.15,32.48,Buy,23,Verified,16368.29,Low_Demand,2704.3,1
C039,Steel,2024-09-23,2964.49,Natural Gas,920.42,1074.42,23.13,Sell,99,Verified,14516.41,Low_Demand,2288.95,0
C086,Cement,2024-05-19,736.23,Mixed Fuel,385.73,402.73,23.7,Buy,189,Disputed,17671.18,High_Demand,1692.87,1
C073,Steel,2024-02-29,622.4,Coal,482.55,398.55,26.78,Sell,21,Disputed,5291.17,Low_Demand,1407.26,0
C029,Cement,2024-12-12,2118.19,Coal,801.39,768.39,27.81,Buy,95,Verified,14730.0,Low_Demand,1647.26,1
C072,Cement,2025-08-11,1356.35,Mixed Fuel,622.75,539.75,33.06,Buy,110,Verified,11283.44,Low_Demand,1872.96,1
C033,Steel,2024-07-24,1221.2,Mixed Fuel,758.82,746.82,31.14,Sell,107,Disputed,16395.35,Price_Surge,1865.57,0
C026,Manufacturing,2025-06-10,2891.32,Renewable,1304.92,1493.92,28.18,Buy,147,Verified,19221.93,Low_Demand,2021.29,1
C091,Energy,2025-08-14,530.7,Mixed Fuel,407.35,472.35,23.09,Buy,49,Verified,7050.39,High_Demand,998.35,1
C021,Energy,2025-01-26,1657.09,Natural Gas,971.73,824.73,33.41,Sell,97,Verified,19692.26,Price_Surge,2160.92,0
C084,Manufacturing,2024-06-21,1985.26,Mixed Fuel,1559.93,1373.93,21.31,Sell,31,Disputed,16823.24,Low_Demand,2979.21,0
C015,Steel,2024-05-15,1399.3,Mixed Fuel,697.48,798.48,33.67,Buy,159,Disputed,14146.07,Price_Surge,801.91,1
C035,Cement,2024-03-11,2890.15,Natural Gas,1352.77,1515.77,28.3,Buy,53,Disputed,14806.31,Low_Demand,1742.15,1
C059,Steel,2024-01-17,2335.76,Mixed Fuel,768.08,894.08,32.28,Sell,93,Verified,6967.5,Low_Demand,1490.7,0
C043,Cement,2024-02-17,2564.92,Natural Gas,1154.07,1179.07,29.25,Buy,51,Disputed,11714.55,Price_Surge,2976.73,1
C041,Cement,2024-08-13,584.85,Renewable,462.6,433.6,31.94,Buy,53,Verified,7244.32,Low_Demand,1409.34,1
C021,Cement,2025-09-25,851.49,Mixed Fuel,617.85,795.85,29.8,Buy,149,Disputed,7007.64,Low_Demand,1783.41,1
C021,Manufacturing,2024-11-22,2059.91,Natural Gas,795.17,925.17,26.95,Buy,87,Disputed,19667.33,Price_Surge,1969.98,1
C005,Manufacturing,2025-11-29,2184.95,Coal,1083.31,1072.31,25.8,Buy,176,Disputed,14653.28,Low_Demand,1001.17,1
C037,Energy,2025-11-21,1129.27,Natural Gas,481.74,296.74,24.79,Sell,144,Verified,10391.95,Price_Surge,2594.49,0
C045,Steel,2025-05-10,2697.37,Mixed Fuel,1446.68,1623.68,31.24,Buy,165,Verified,6522.57,Low_Demand,1196.05,1
